"Date","Forecast","Fruit"
2025-04-02,188.957768542111,"Apple"
2025-04-03,207.612635500342,"Apple"
2025-04-04,211.025853210041,"Apple"
2025-04-05,211.650358073029,"Apple"
2025-04-06,211.764621608808,"Apple"
2025-04-07,211.785528020243,"Apple"
2025-04-08,211.789353195406,"Apple"
2025-04-09,211.790053074727,"Apple"
2025-04-10,211.790181129271,"Apple"
2025-04-11,211.790204558977,"Apple"
2025-04-12,211.79020884583,"Apple"
2025-04-13,211.790209630181,"Apple"
2025-04-14,211.790209773691,"Apple"
2025-04-15,211.790209799949,"Apple"
2025-04-02,220.682926829268,"Banana"
2025-04-03,220.682926829268,"Banana"
2025-04-04,220.682926829268,"Banana"
2025-04-05,220.682926829268,"Banana"
2025-04-06,220.682926829268,"Banana"
2025-04-07,220.682926829268,"Banana"
2025-04-08,220.682926829268,"Banana"
2025-04-09,220.682926829268,"Banana"
2025-04-10,220.682926829268,"Banana"
2025-04-11,220.682926829268,"Banana"
2025-04-12,220.682926829268,"Banana"
2025-04-13,220.682926829268,"Banana"
2025-04-14,220.682926829268,"Banana"
2025-04-15,220.682926829268,"Banana"
2025-04-02,204.050054865893,"Mango"
2025-04-03,192.404768408733,"Mango"
2025-04-04,229.203873613361,"Mango"
2025-04-05,240.849160070521,"Mango"
2025-04-06,250.16538923625,"Mango"
2025-04-07,252.727352256825,"Mango"
2025-04-08,187.746653825868,"Mango"
2025-04-09,207.29907700886,"Mango"
2025-04-10,210.011330942247,"Mango"
2025-04-11,201.440608512745,"Mango"
2025-04-12,198.728354579358,"Mango"
2025-04-13,196.558551432649,"Mango"
2025-04-14,195.961855567304,"Mango"
2025-04-15,211.096232515602,"Mango"
2025-04-01,183.947256259013,"Orange"
2025-04-02,195.810545554238,"Orange"
2025-04-03,198.119716492206,"Orange"
2025-04-04,198.56919304867,"Orange"
2025-04-05,198.65668296615,"Orange"
2025-04-06,198.673712743456,"Orange"
2025-04-07,198.677027563306,"Orange"
2025-04-08,198.677672787869,"Orange"
2025-04-09,198.677798379834,"Orange"
2025-04-10,198.677822826116,"Orange"
2025-04-11,198.677827584547,"Orange"
2025-04-12,198.677828510768,"Orange"
2025-04-13,198.677828691056,"Orange"
2025-04-14,198.677828726149,"Orange"
2025-04-02,227.952380952381,"Pineapple"
2025-04-03,227.952380952381,"Pineapple"
2025-04-04,227.952380952381,"Pineapple"
2025-04-05,227.952380952381,"Pineapple"
2025-04-06,227.952380952381,"Pineapple"
2025-04-07,227.952380952381,"Pineapple"
2025-04-08,227.952380952381,"Pineapple"
2025-04-09,227.952380952381,"Pineapple"
2025-04-10,227.952380952381,"Pineapple"
2025-04-11,227.952380952381,"Pineapple"
2025-04-12,227.952380952381,"Pineapple"
2025-04-13,227.952380952381,"Pineapple"
2025-04-14,227.952380952381,"Pineapple"
2025-04-15,227.952380952381,"Pineapple"
